Bib	Wave	Team	Start	End	Num Laps	Laps Started																
626	1	M30S	6:14:43	11:20:16	4	4	6:14:43	7:04:49	7:04:50	8:12:10	8:12:11	9:44:36	9:44:37	11:20:16								
609	1	M30S	6:15:02	9:56:57	4	4	6:15:02	7:04:50	7:04:50	7:56:08	7:56:09	8:53:40	8:53:40	9:56:57								
628	3	M40S	6:19:40	9:37:19	4	4	6:19:40	7:05:19	7:05:19	7:51:55	7:51:56	8:39:15	8:39:15	9:37:19								
600	1	M30S	6:14:51	9:34:58	4	4	6:14:51	7:05:43	7:05:43	7:51:21	7:51:22	8:39:37	8:39:37	9:34:58								
512	3	M40S	6:19:30	9:40:35	4	4	6:19:31	7:05:59	7:05:59	7:53:38	7:53:38	8:43:23	8:43:23	9:40:35								
73	1	M30S	6:14:45	10:27:53	4	4	6:14:45	7:06:08	7:06:09	8:00:16	8:00:16	9:07:15	9:07:16	10:27:53								
712	3	M40S	6:19:33	9:36:27	4	4	6:19:33	7:06:12	7:06:13	7:53:25	7:53:25	8:43:18	8:43:18	9:36:27								
693	3	M40S	6:19:33	9:24:03	4	4	6:19:33	7:06:24	7:06:24	7:50:20	7:50:20	8:36:38	8:36:38	9:24:03								
618	1	M30S	6:14:34	11:13:12	4	4	6:14:33	7:06:41	7:06:41	8:04:59	8:04:59	9:29:32	9:29:32	11:13:12								
585	1	M30S	6:15:03	10:35:32	4	4	6:15:03	7:06:52	7:06:53	8:00:40	8:00:41	9:06:09	9:06:09	10:35:32								
731	3	M40S	6:19:36	9:51:29	4	4	6:19:34	7:06:58	7:06:58	7:54:52	7:54:52	8:48:04	8:48:04	9:51:29								
776	1	M30S	6:14:30	9:26:35	4	4	6:14:30	7:07:10	7:07:10	7:47:22	7:47:22	8:31:02	8:31:02	9:26:35								
670	3	M40S	6:19:42	9:35:02	4	4	6:19:42	7:07:09	7:07:10	7:51:29	7:51:29	8:42:33	8:42:34	9:35:02								
63	2	M20S	6:17:32	9:55:45	4	4	6:17:31	7:07:14	7:07:14	7:58:01	7:58:01	8:54:40	8:54:40	9:55:45								
683	3	M40S	6:19:41	9:52:56	4	4	6:19:41	7:07:36	7:07:36	7:56:54	7:56:54	8:52:25	8:52:25	9:52:56								
729	3	M40S	6:19:34	10:05:27	4	4	6:19:33	7:07:48	7:07:48	8:00:46	8:00:46	8:58:49	8:58:50	10:05:27								
756	1	M30S	6:14:38	10:05:29	4	4	6:14:37	7:07:54	7:07:54	8:05:05	8:05:05	9:05:48	9:05:48	10:05:29								
617	1	M30S	6:14:30	10:07:25	4	4	6:14:30	7:07:59	7:07:59	8:04:23	8:04:23	9:03:03	9:03:04	10:07:25								
759	1	M30S	6:14:22	10:06:04	4	4	6:14:23	7:08:01	7:08:01	8:02:56	8:02:56	9:01:56	9:01:57	10:06:04								
562	2	M20S	6:17:26	10:20:55	4	4	6:17:26	7:08:07	7:08:08	7:58:51	7:58:51	9:03:12	9:03:12	10:20:55								
100	4	MSUB20	6:22:41	9:30:17	4	4	6:22:40	7:08:18	7:08:18	7:51:55	7:51:55	8:38:41	8:38:41	9:30:17								
719	3	M40S	6:20:06	9:38:52	4	4	6:20:06	7:08:25	7:08:26	7:55:57	7:55:57	8:47:03	8:47:03	9:38:52								
532	1	M30S	6:15:06	10:06:59	4	4	6:15:06	7:08:27	7:08:28	8:03:41	8:03:41	9:03:44	9:03:45	10:06:59								
620	1	M30S	6:14:44	10:38:17	4	4	6:14:44	7:08:37	7:08:38	8:05:20	8:05:21	9:17:13	9:17:14	10:38:17								
637	1	M30S	6:15:39	10:32:56	4	4	6:15:39	7:09:01	7:09:01	8:07:13	8:07:13	9:11:09	9:11:10	10:32:56								
71	3	M40S	6:19:36	9:50:18	4	4	6:19:37	7:09:34	7:09:34	8:01:14	8:01:14	8:54:59	8:55:00	9:50:18								
803	1	M30S	6:14:34	11:31:36	4	4	6:14:34	7:09:48	7:09:48	8:16:44	8:16:44	9:36:44	9:36:44	11:31:36								
619	1	M30S	6:14:27	12:08:12	4	4	6:14:28	7:09:51	7:09:51	8:09:31	8:09:31	9:24:14	9:24:14	12:08:12								
746	4	M50S	6:22:41	10:01:38	4	4	6:22:41	7:09:59	7:09:59	7:58:43	7:58:43	8:58:16	8:58:19	10:01:38								
568	1	M30S	6:14:52	11:22:27	4	4	6:14:53	7:10:03	7:10:03	8:12:50	8:12:50	9:38:30	9:38:30	11:22:27								
503	4	F30S	7:10:03	null	4	3	7:10:03	8:12:51	8:12:51	11:22:27	11:22:27	null										
742	4	M50S	6:22:42	9:33:59	4	4	6:22:42	7:10:08	7:10:08	7:56:49	7:56:50	8:44:33	8:44:33	9:33:59								
575	1	M30S	6:14:38	11:21:10	4	4	6:14:38	7:10:15	7:10:16	8:14:57	8:14:58	9:33:23	9:33:24	11:21:10								
736	4	M50S	6:22:44	12:04:28	4	4	6:22:43	7:10:17	7:10:17	7:57:14	7:57:14	8:44:27	8:44:27	12:04:28								
516	4	FSUB20	6:22:39	9:44:05	4	4	6:22:39	7:10:26	7:10:27	7:59:55	7:59:55	8:50:17	8:50:17	9:44:05								
528	2	M20S	6:17:27	null	4	4	6:17:27	7:10:52	7:10:53	8:09:08	8:09:09	9:44:33	9:45:21	null								
674	3	M40S	6:19:43	10:22:29	4	4	6:19:43	7:10:58	7:10:59	8:15:45	8:15:45	9:17:06	9:17:06	10:22:29								
665	3	M40S	6:19:35	10:34:24	4	4	6:19:36	7:12:25	7:12:25	8:13:56	8:13:56	9:18:20	9:18:21	10:34:24								
613	1	M30S	6:14:36	10:04:20	4	4	6:14:35	7:13:06	7:13:06	8:32:53	8:32:53	10:04:20	10:04:20	null								
633	1	M30S	6:14:51	12:26:19	4	4	6:14:49	7:13:22	7:13:22	8:18:40	8:18:40	9:33:50	9:33:51	12:26:19								
684	3	M40S	6:19:42	10:33:49	4	4	6:19:42	7:13:24	7:13:25	8:10:52	8:10:52	9:14:22	9:14:23	10:33:49								
677	3	M40S	6:27:53	9:40:23	4	4	6:27:53	7:13:37	7:13:37	7:58:47	7:58:47	8:44:12	8:44:13	9:40:23								
