82003004,12:37:43,Me,1
82003004,18:17:51,Me,2
82003004,18:28:41,Me,2
82003004,18:35:55,Me,2
82003009,18:17:52,Me,2
82003009,18:28:53,Me,1
82003014,12:31:48,Me,2
82003014,12:55:21,Me,1
82003014,18:17:54,Me,1
82003014,18:21:58,Me,3
82003014,18:29:11,Me,1
82003019,12:37:55,Me,1
82003019,13:11:35,Me,3
82003019,18:17:54,Me,3
82003019,18:29:23,Me,1
82003019,18:36:09,Me,2
82003024,18:17:56,Me,3
82003024,18:29:39,Me,2
82003029,18:17:57,Me,1
82003029,18:29:57,Me,1
82003034,12:55:11,Me,2
82003034,18:17:59,Me,1
82003034,18:30:18,Me,2
82003039,12:38:01,Me,1
82003039,12:55:20,Me,2
82003039,18:18:00,Me,1
82003039,18:30:29,Me,1
82003045,18:18:02,Me,3
82003045,18:30:39,Me,1
82003050,12:33:39,Me,2
82003050,18:18:03,Me,3
82003050,18:30:51,Me,2
82003055,18:18:05,Me,2
82003055,18:31:19,Me,3
82003060,12:37:37,Me,2
82003060,12:54:55,Me,1
82003060,18:18:07,Me,1
82003060,18:31:21,Me,1
82003065,18:18:08,Me,1
82003065,18:31:22,Me,2
82003065,18:34:31,Me,3
82003072,12:55:04,Me,3
82003072,13:11:53,Me,3
82003072,18:18:09,Me,1
82003072,18:31:24,Me,2
82003077,12:31:22,Me,2
82003077,12:37:56,Me,1
82003077,12:54:46,Me,3
82003077,18:18:11,Me,2
82003077,18:31:26,Me,3
82003082,18:18:13,Me,2
82003082,18:31:27,Me,2
82003087,18:18:14,Me,2
82003087,18:31:28,Me,1
82003092,18:18:16,Me,2
82003092,18:31:29,Me,2
82003097,18:18:17,Me,1
82003097,18:31:31,Me,2
82003097,18:35:33,Me,2
82003097,18:36:18,Me,2
82003102,18:18:18,Me,2
82003102,18:31:32,Me,1
82003107,18:18:19,Me,2
82003107,18:31:34,Me,3
82003107,18:35:57,Me,1
82003112,18:18:20,Me,1
82003112,18:31:36,Me,1
82003117,12:30:40,Me,2
82003117,18:18:22,Me,1
82003117,18:31:39,Me,1
82003122,18:18:24,Me,1
82003122,18:31:40,Me,1
82003127,12:37:37,Me,3
82003127,18:18:26,Me,3
82003127,18:31:41,Me,3
82003132,12:38:17,Me,2
82003132,18:18:27,Me,3
82003132,18:31:43,Me,3
82003132,18:36:16,Me,1
82003137,12:37:45,Me,3
82003137,18:18:29,Me,2
82003137,18:31:44,Me,3
82003137,18:35:25,Me,1
82003137,18:36:09,Me,2
